title,url,content
Contents,https://www.accesstoinsight.org/tipitaka/vin/index.html,"The Vinaya Pitaka, the first division of the Tipitaka, is the textual framework upon which the monastic community (Sangha) is built. It includes not only the rules governing the life of every Theravada bhikkhu (monk) and bhikkhuni (nun), but also a host of procedures and conventions of etiquette that support harmonious relations, both among the monastics themselves, and between the monastics and their lay supporters, upon whom they depend for all their material needs.
When the Buddha first established the Sangha, the community initially lived in harmony without any codified rules of conduct. As the Sangha gradually grew in number and evolved into a more complex society, occasions inevitably arose when a member would act in an unskillful way. Whenever one of these cases was brought to the Buddha's attention, he would lay down a rule establishing a suitable punishment for the offense, as a deterrent to future misconduct. The Buddha's standard reprimand was itself a powerful corrective:
It is not fit, foolish man, it is not becoming, it is not proper, it is unworthy of a recluse, it is not lawful, it ought not to be done. How could you, foolish man, having gone forth under this Dhamma and Discipline which are well-taught, [commit such and such offense]?... It is not, foolish man, for the benefit of un-believers, nor for the increase in the number of believers, but, foolish man, it is to the detriment of both unbelievers and believers, and it causes wavering in some.
— The Book of the Discipline, Part I, by I.B. Horner (London: Pali Text Society, 1982), pp. 36-37.
The monastic tradition and the rules upon which it is built are sometimes naïvely criticized — particularly here in the West — as irrelevant to the ""modern"" practice of Buddhism. Some see the Vinaya as a throwback to an archaic patriarchy, based on a hodge-podge of ancient rules and customs — quaint cultural relics that only obscure the essence of ""true"" Buddhist practice. This misguided view overlooks one crucial fact: it is thanks to the unbroken lineage of monastics who have consistently upheld and protected the rules of the Vinaya for almost 2,600 years that we find ourselves today with the luxury of receiving the priceless teachings of Dhamma. Were it not for the Vinaya, and for those who continue to keep it alive to this day, there would be no Buddhism.
It helps to keep in mind that the name the Buddha gave to the spiritual path he taught was ""Dhamma-vinaya"" — the Doctrine (Dhamma) and Discipline (Vinaya) — suggesting an integrated body of wisdom and ethical training. The Vinaya is thus an indispensable facet and foundation of all the Buddha's teachings, inseparable from the Dhamma, and worthy of study by all followers — lay and ordained, alike. Lay practitioners will find in the Vinaya Pitaka many valuable lessons concerning human nature, guidance on how to establish and maintain a harmonious community or organization, and many profound teachings of the Dhamma itself. But its greatest value, perhaps, lies in its power to inspire the layperson to consider the extraordinary possibilities presented by a life of true renunciation, a life lived fully in tune with the Dhamma.
See also:
See also these entries in the General Index: Monastic Life, Vinaya."
The Translators,https://www.accesstoinsight.org/tipitaka/translators.html,"The sutta translations offered on Access to Insight were prepared by the following individuals or groups.[1] Click on a translator's name to see a list of their translations.
Translations done jointly by these two individuals.
Any of the monks or nuns affiliated with the Amaravati Buddhist Monastery, England.
b. Jeffrey Block in New York City, 1944.
Ven. Dr. Ashin Candasiri, Mahaganthavacakapandita (Asst. Rector, Sitagu International Buddhist Academy, Sagaing Hills, Sagaing, Myanmar), by way of Vilāsa Bhikkhu.
Founder of the Maha Bodhi Society in Bangalore, India.
Now at the School of Social and International Studies, University of Sunderland, Sunderland SR2 7EE, UK. (jtb 070328).
Translations done jointly by both individuals. (Hecker: Pali to German; Khema: German to English).
b. in Walthamstow, England, 1896; d. 1981.
b. in London, 1932; d. 1998.
b. 1952.
b. Laurence Mills, 1932 (where?).
Translations done jointly by these three individuals.
b. Liew Chin Leag in Malaysia, 1972.
b. (when?) Sri Lanka.
b. in Sri Lanka (year?).
b. in Kotahena, Sri Lanka, 1898; d. 1983.
b. Adelaide, South Australia 1961. Independent philosopher, meditator, and scholar.
Vice-president, Pali Text Society.
Translations done jointly by these two individuals. (Ñanamoli: Pali to English; Bodhi: Pali to English & editor.)
b. Osbert Moore in England, 1905; d. 1960.
b. Siegmund Feniger in Germany, 1901; d. 1994.
b. in Czechoslovakia (year?).
Executive director of the Barre Center for Buddhist Studies.
b. Colombo, Sri Lanka, in 1914; d. 1998.
b. Caroline Augusta Foley in Wadhurst, England, 1857; d. 1942
b. Victor Emmanuel Perera Pulle in Sri Lanka, 1898; d. 1960.
Resided in Mandalay, Burma in the 1950's.
b. Geoffrey DeGraff in USA, 1949.
See dhammatalks.org for the authoritative collection of Thanissaro Bhikkhu’s sutta translations. (The sutta translations here on ati have not been updated or expanded since accesstoinsight was frozen in 2013.)
b. in Germany.
Translations done jointly by these two individuals.
b. in London 1911; d. 1998.
b. 1871; d. 1952.
Translations done jointly by participants of the  Yahoo! Pali Group, an online forum."
Unknown Title,https://www.accesstoinsight.org/tipitaka/an/an02/an02.023.than.html,"""Monks, these two slander the Tathagata. Which two? He who explains what was not said or spoken by the Tathagata as said or spoken by the Tathagata. And he who explains what was said or spoken by the Tathagata as not said or spoken by the Tathagata. These are two who slander the Tathagata."""
Subhuti (Thag 1.1)   {Thag 1},https://www.accesstoinsight.org/tipitaka/kn/thag/thag.01.00x.than.html#passage-26,"See also: Ud 5.7 (Kankharevata = Revata the Doubter).
[Alternate translation: Hecker/Khema.]"
Unknown Title,https://www.accesstoinsight.org/tipitaka/an/an04/an04.184.than.html,"Then Janussonin the brahman went to the Blessed One and, on arrival, exchanged courteous greetings with him. After an exchange of friendly greetings & courtesies, he sat to one side. As he was sitting there he said to the Blessed One: ""I am of the view & opinion that there is no one who, subject to death, is not afraid or in terror of death.""
[The Blessed One said:] ""Brahman, there are those who, subject to death, are afraid & in terror of death. And there are those who, subject to death, are not afraid or in terror of death.
""And who is the person who, subject to death, is afraid & in terror of death? There is the case of the person who has not abandoned passion, desire, fondness, thirst, fever, & craving for sensuality. Then he comes down with a serious disease. As he comes down with a serious disease, the thought occurs to him, 'O, those beloved sensual pleasures will be taken from me, and I will be taken from them!' He grieves & is tormented, weeps, beats his breast, & grows delirious. This is a person who, subject to death, is afraid & in terror of death.
""Furthermore, there is the case of the person who has not abandoned passion, desire, fondness, thirst, fever, & craving for the body. Then he comes down with a serious disease. As he comes down with a serious disease, the thought occurs to him, 'O, my beloved body will be taken from me, and I will be taken from my body!' He grieves & is tormented, weeps, beats his breast, & grows delirious. This, too, is a person who, subject to death, is afraid & in terror of death.
""Furthermore, there is the case of the person who has not done what is good, has not done what is skillful, has not given protection to those in fear, and instead has done what is evil, savage, & cruel. Then he comes down with a serious disease. As he comes down with a serious disease, the thought occurs to him, 'I have not done what is good, have not done what is skillful, have not given protection to those in fear, and instead have done what is evil, savage, and cruel. To the extent that there is a destination for those who have not done what is good, have not done what is skillful, have not given protection to those in fear, and instead have done what is evil, savage, & cruel, that's where I'm headed after death.' He grieves & is tormented, weeps, beats his breast, & grows delirious. This, too, is a person who, subject to death, is afraid & in terror of death.
""Furthermore, there is the case of the person in doubt & perplexity, who has not arrived at certainty with regard to the True Dhamma. Then he comes down with a serious disease. As he comes down with a serious disease, the thought occurs to him, 'How doubtful & perplexed I am! I have not arrived at any certainty with regard to the True Dhamma!' He grieves & is tormented, weeps, beats his breast, & grows delirious. This, too, is a person who, subject to death, is afraid & in terror of
death.
""These, brahman, are four people who, subject to death, are afraid & in terror of death.
""And who is the person who, subject to death, is not afraid or in terror of death?
""There is the case of the person who has abandoned passion, desire, fondness, thirst, fever, and craving for sensuality. Then he comes down with a serious disease. As he comes down with a serious disease, the thought does not occur to him, 'O, those beloved sensual pleasures will be taken from me, and I will be taken from them!' He does not grieve, is not tormented; does not weep, beat his breast, or grow delirious. This is a person who, subject to death, is not afraid or in terror of death.
""Furthermore, there is the case of the person who has abandoned passion, desire, fondness, thirst, fever, and craving for the body. Then he comes down with a serious disease. As he comes down with a serious disease, the thought does not occur to him, 'O, my beloved body will be taken from me, and I will be taken from my body!' He does not grieve, is not tormented; does not weep, beat his breast, or grow delirious. This, too, is a person who, subject to death, is not afraid or in terror of death.
""Furthermore, there is the case of the person who has done what is good, has done what is skillful, has given protection to those in fear, and has not done what is evil, savage, or cruel. Then he comes down with a serious disease. As he comes down with a serious disease, the thought occurs to him, 'I have done what is good, have done what is skillful, have given protection to those in fear, and I have not done what is evil, savage, or cruel. To the extent that there is a destination for those who have done what is good, what is skillful, have given protection to those in fear, and have not done what is evil, savage, or cruel, that's where I'm headed after death.' He does not grieve, is not tormented; does not weep, beat his breast, or grow delirious. This, too, is a person who, subject to death, is not afraid or in terror of death.
""Furthermore, there is the case of the person who has no doubt or perplexity, who has arrived at certainty with regard to the True Dhamma. Then he comes down with a serious disease. As he comes down with a serious disease, the thought occurs to him, 'I have no doubt or perplexity. I have arrived at certainty with regard to the True Dhamma.' He does not grieve, is not tormented; does not weep, beat his breast, or grow delirious. This, too, is a person who, subject to death, is not afraid or in terror of death.
""These, brahman, are four people who, subject to death, are not afraid or in terror of death.""
[When this was said, Janussonin the brahman said to the Blessed One:] ""Magnificent, Master Gotama! Magnificent! Just as if he were to place upright what was overturned, to reveal what was hidden, to show the way to one who was lost, or to carry a lamp into the dark so that those with eyes could see forms, in the same way has Master Gotama — through many lines of reasoning — made the Dhamma clear. I go to Master Gotama for refuge, to the Dhamma, and to the Sangha of monks. May Master Gotama remember me as a lay follower who has gone to him for refuge, from this day forward, for life.""
See also:
Iti 30; Iti 31."
Translator's Introduction,https://www.accesstoinsight.org/tipitaka/mn/mn.058.than.html,"In this discourse, the Buddha shows the factors that go into deciding what is and is not worth saying. The main factors are three: whether or not a statement is true, whether or not it is beneficial, and whether or not it is pleasing to others. The Buddha himself would state only those things that are true and beneficial, and would have a sense of time for when pleasing and unpleasing things should be said. Notice that the possibility that a statement might be untrue yet beneficial is not even entertained.
This discourse also shows, in action, the Buddha's teaching on the four categories of questions and how they should be answered (see AN 4.42). The prince asks him two questions, and in both cases he responds first with a counter-question, before going on to give an analytical answer to the first question and a categorical answer to the second. Each counter-question serves a double function: to give the prince a familiar reference point for understanding the answer about to come, and also to give him a chance to speak of his own intelligence and good motives. This provides him with the opportunity to save face after being stymied in his desire to best the Buddha in argument. The Commentary notes that the prince had placed his infant son on his lap as a cheap debater's trick: if the Buddha had put him in an uncomfortable spot in the debate, the prince would have pinched his son, causing him to cry and thus effectively bringing the debate to a halt. The Buddha, however, uses the infant's presence to remove any sense of a debate and also to make an effective point. Taking Nigantha Nataputta's image of a dangerous object stuck in the throat, he applies it to the infant, and then goes on to make the point that, unlike the Niganthas — who were content to leave someone with a potentially lethal object in the throat — the Buddha's desire is to remove such objects, out of sympathy and compassion. In this way, he brings the prince over to his side, converting a potential opponent into a disciple.
Thus this discourse is not only about right speech, but also shows right speech in action.
I have heard that on one occasion the Blessed One was staying near Rajagaha in the Bamboo Grove, the Squirrels' Sanctuary.
Then Prince Abhaya went to Nigantha Nataputta and on arrival, having bowed down to him, sat to one side. As he was sitting there, Nigantha Nataputta said to him, ""Come, now, prince. Refute the words of Gotama the contemplative, and this admirable report about you will spread afar: 'The words of Gotama the contemplative — so mighty, so powerful — were refuted by Prince Abhaya!'""
""But how, venerable sir, will I refute the words of Gotama the contemplative — so mighty, so powerful?""
""Come now, prince. Go to Gotama the contemplative and on arrival say this: 'Lord, would the Tathagata say words that are unendearing & disagreeable to others?' If Gotama the contemplative, thus asked, answers, 'The Tathagata would say words that are unendearing & disagreeable to others,' then you should say, 'Then how is there any difference between you, lord, and run-of-the-mill people? For even run-of-the-mill people say words that are unendearing & disagreeable to others.' But if Gotama the contemplative, thus asked, answers, 'The Tathagata would not say words that are unendearing & disagreeable to others,' then you should say, 'Then how, lord, did you say of Devadatta that ""Devadatta is headed for destitution, Devadatta is headed for hell, Devadatta will boil for an eon, Devadatta is incurable""? For Devadatta was upset & disgruntled at those words of yours.' When Gotama the contemplative is asked this two-pronged question by you, he won't be able to swallow it down or spit it up. Just as if a two-horned chestnut[1] were stuck in a man's throat: he would not be able to swallow it down or spit it up. In the same way, when Gotama the contemplative is asked this two-pronged question by you, he won't be able to swallow it down or spit it up.""
Responding, ""As you say, venerable sir,"" Prince Abhaya got up from his seat, bowed down to Nigantha Nataputta, circumambulated him, and then went to the Blessed One. On arrival, he bowed down to the Blessed One and sat to one side. As he was sitting there, he glanced up at the sun and thought, ""Today is not the time to refute the Blessed One's words. Tomorrow in my own home I will overturn the Blessed One's words."" So he said to the Blessed One, ""May the Blessed One, together with three others, acquiesce to my offer of tomorrow's meal.""
The Blessed One acquiesced with silence.
Then Prince Abhaya, understanding the Blessed One's acquiescence, got up from his seat, bowed down to the Blessed One, circumambulated him, and left.
Then, after the night had passed, the Blessed One early in the morning put on his robes and, carrying his bowl and outer robe, went to Prince Abhaya's home. On arrival, he sat down on a seat made ready. Prince Abhaya, with his own hand, served & satisfied the Blessed One with fine staple & non-staple foods. Then, when the Blessed One had eaten and had removed his hand from his bowl, Prince Abhaya took a lower seat and sat to one side. As he was sitting there he said to the Blessed One, ""Lord, would the Tathagata say words that are unendearing & disagreeable to others?""
""Prince, there is no categorical yes-or-no answer to that.""
""Then right here, lord, the Niganthas are destroyed.""
""But prince, why do you say, 'Then right here, lord, the Niganthas are destroyed'?""
""Just yesterday, lord, I went to Nigantha Nataputta and... he said to me...'Come now, prince. Go to Gotama the contemplative and on arrival say this: ""Lord, would the Tathagata say words that are unendearing & disagreeable to others?""... Just as if a two-horned chestnut were stuck in a man's throat: he would not be able to swallow it down or spit it up. In the same way, when Gotama the contemplative is asked this two-pronged question by you, he won't be able to swallow it down or spit it up.'""
Now at that time a baby boy was lying face-up on the prince's lap. So the Blessed One said to the prince, ""What do you think, prince: If this young boy, through your own negligence or that of the nurse, were to take a stick or a piece of gravel into its mouth, what would you do?""
""I would take it out, lord. If I couldn't get it out right away, then holding its head in my left hand and crooking a finger of my right, I would take it out, even if it meant drawing blood. Why is that? Because I have sympathy for the young boy.""
""In the same way, prince:
[1] In the case of words that the Tathagata knows to be unfactual, untrue, unbeneficial (or: not connected with the goal), unendearing & disagreeable to others, he does not say them.
[2] In the case of words that the Tathagata knows to be factual, true, unbeneficial, unendearing & disagreeable to others, he does not say them.
[3] In the case of words that the Tathagata knows to be factual, true, beneficial, but unendearing & disagreeable to others, he has a sense of the proper time for saying them.
[4] In the case of words that the Tathagata knows to be unfactual, untrue, unbeneficial, but endearing & agreeable to others, he does not say them.
[5] In the case of words that the Tathagata knows to be factual, true, unbeneficial, but endearing & agreeable to others, he does not say them.
[6] In the case of words that the Tathagata knows to be factual, true, beneficial, and endearing & agreeable to others, he has a sense of the proper time for saying them. Why is that? Because the Tathagata has sympathy for living beings.""
""Lord, when wise nobles or brahmans, householders or contemplatives, having formulated questions, come to the Tathagata and ask him, does this line of reasoning appear to his awareness beforehand — 'If those who approach me ask this, I — thus asked — will answer in this way' — or does the Tathagata come up with the answer on the spot?""
""In that case, prince, I will ask you a counter-question. Answer as you see fit. What do you think: are you skilled in the parts of a chariot?""
""Yes, lord. I am skilled in the parts of a chariot.""
""And what do you think: When people come & ask you, 'What is the name of this part of the chariot?' does this line of reasoning appear to your awareness beforehand — 'If those who approach me ask this, I — thus asked — will answer in this way' — or do you come up with the answer on the spot?""
""Lord, I am renowned for being skilled in the parts of a chariot. All the parts of a chariot are well-known to me. I come up with the answer on the spot.""
""In the same way, prince, when wise nobles or brahmans, householders or contemplatives, having formulated questions, come to the Tathagata and ask him, he comes up with the answer on the spot. Why is that? Because the property of the Dhamma is thoroughly penetrated by the Tathagata. From his thorough penetration of the property of the Dhamma, he comes up with the answer on the spot."" [2]
When this was said, Prince Abhaya said to the Blessed One: ""Magnificent, lord! Magnificent! Just as if he were to place upright what was overturned, to reveal what was hidden, to show the way to one who was lost, or to carry a lamp into the dark so that those with eyes could see forms, in the same way has the Blessed One — through many lines of reasoning — made the Dhamma clear. I go to the Blessed One for refuge, to the Dhamma, and to the Sangha of monks. May the Blessed One remember me as a lay follower who has gone to him for refuge, from this day forward, for life.""
See also: AN 4.24; AN 4.42; AN 4.183."
Unknown Title,https://www.accesstoinsight.org/tipitaka/kn/thag/thag.03.13.than.html,No content found
Unknown Title,https://www.accesstoinsight.org/tipitaka/sn/sn55/sn55.031.than.html,"""Monks, there are these four bonanzas of merit, bonanzas of skillfulness, nourishments of bliss. Which four?
""There is the case where the disciple of the noble ones is endowed with verified confidence in the Awakened One: 'Indeed, the Blessed One is worthy and rightly self-awakened, consummate in knowledge & conduct, well-gone, an expert with regard to the world, unexcelled as a trainer for those people fit to be tamed, the Teacher of divine & human beings, awakened, blessed.' This is the first bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with verified confidence in the Dhamma: 'The Dhamma is well-expounded by the Blessed One, to be seen here & now, timeless, inviting verification, pertinent, to be realized by the wise for themselves.' This is the second bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with verified confidence in the Sangha: 'The Sangha of the Blessed One's disciples who have practiced well...who have practiced straight-forwardly...who have practiced methodically...who have practiced masterfully — in other words, the four types of noble disciples when taken as pairs, the eight when taken as individual types — they are the Sangha of the Blessed One's disciples: worthy of gifts, worthy of hospitality, worthy of offerings, worthy of respect, the incomparable field of merit for the world.' This is the third bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with virtues that are appealing to the noble ones: untorn, unbroken, unspotted, unsplattered, liberating, praised by the wise, untarnished, leading to concentration. This is the fourth bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""These are four bonanzas of merit, bonanzas of skillfulness, nourishments of bliss.""
See also: SN 55.32; SN 55.33; SN 55.40."
Unknown Title,https://www.accesstoinsight.org/tipitaka/sn/sn55/sn55.032.than.html,"""Monks, there are these four bonanzas of merit, bonanzas of skillfulness, nourishments of bliss. Which four?
""There is the case where the disciple of the noble ones is endowed with verified confidence in the Awakened One: 'Indeed, the Blessed One is worthy and rightly self-awakened, consummate in knowledge & conduct, well-gone, an expert with regard to the world, unexcelled as a trainer for those people fit to be tamed, the Teacher of divine & human beings, awakened, blessed.' This is the first bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with verified confidence in the Dhamma: 'The Dhamma is well-expounded by the Blessed One, to be seen here & now, timeless, inviting verification, pertinent, to be realized by the wise for themselves.' This is the second bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with verified confidence in the Sangha: 'The Sangha of the Blessed One's disciples who have practiced well...who have practiced straight-forwardly...who have practiced methodically...who have practiced masterfully — in other words, the four types of noble disciples when taken as pairs, the eight when taken as individual types — they are the Sangha of the Blessed One's disciples: worthy of gifts, worthy of hospitality, worthy of offerings, worthy of respect, the incomparable field of merit for the world.' This is the third bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones lives at home with an awareness cleansed of the stain of stinginess, freely generous, openhanded, delighting in being magnanimous, responsive to requests, delighting in the distribution of alms. This is the fourth bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""These are four bonanzas of merit, bonanzas of skillfulness, nourishments of bliss.""
See also: SN 55.31; SN 55.33; SN 55.40."
Unknown Title,https://www.accesstoinsight.org/tipitaka/sn/sn55/sn55.033.than.html,"""Monks, there are these four bonanzas of merit, bonanzas of skillfulness, nourishments of bliss. Which four?
""There is the case where the disciple of the noble ones is endowed with verified confidence in the Awakened One: 'Indeed, the Blessed One is worthy and rightly self-awakened, consummate in knowledge & conduct, well-gone, an expert with regard to the world, unexcelled as a trainer for those people fit to be tamed, the Teacher of divine & human beings, awakened, blessed.' This is the first bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with verified confidence in the Dhamma: 'The Dhamma is well-expounded by the Blessed One, to be seen here & now, timeless, inviting verification, pertinent, to be realized by the wise for themselves.' This is the second bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is endowed with verified confidence in the Sangha: 'The Sangha of the Blessed One's disciples who have practiced well...who have practiced straight-forwardly...who have practiced methodically...who have practiced masterfully — in other words, the four types of noble disciples when taken as pairs, the eight when taken as individual types — they are the Sangha of the Blessed One's disciples: worthy of gifts, worthy of hospitality, worthy of offerings, worthy of respect, the incomparable field of merit for the world.' This is the third bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""Furthermore, the disciple of the noble ones is discerning, endowed with discernment of arising & passing away — noble, penetrating, leading to the right ending of stress. This is the fourth bonanza of merit, bonanza of skillfulness, nourishment of bliss.
""These are four bonanzas of merit, bonanzas of skillfulness, nourishments of bliss.""
See also: SN 55.31; SN 55.32; SN 55.40."
